지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
99,파주,2014-08,23.7,35.8,16,120.2,182.6
99,파주,2014-09,19.9,30.2,10.2,63.8,216.2
99,파주,2014-10,13.2,29,-2.6,56.5,243.2
99,파주,2014-11,6.5,22.6,-6.3,43.5,195.5
99,파주,2014-12,-5.1,7.3,-17,12.9,190.5
99,파주,2015-01,-3.1,8.8,-15.6,20.9,198.8
99,파주,2015-02,-.7,13,-16.4,22.3,181.7
99,파주,2015-03,4.1,21.3,-9,7.7,261.8
99,파주,2015-04,11.8,29.1,-2.2,63.4,223.3
99,파주,2015-05,17,31.6,2.9,26.8,288.7
99,파주,2015-06,21.5,32.8,9.6,82.8,259.5
99,파주,2015-07,24.1,35,14.3,220.1,198.8
99,파주,2015-08,24.5,33.8,14.8,33.5,233.8
99,파주,2015-09,19.7,29.9,9.2,31.8,263.3
99,파주,2015-10,13.1,25.9,-4.1,74.1,230.7
99,파주,2015-11,7.4,19.6,-8.5,111.6,99.3
99,파주,2015-12,-.2,11.1,-14.7,21.2,183.3
99,파주,2016-01,-5,11.3,-20,1,203.1
99,파주,2016-02,-1.2,15.5,-16.4,65.9,199.7
99,파주,2016-03,5.4,21.6,-10.5,57.4,250.6
99,파주,2016-04,12.6,28.1,.2,89.3,220.5
99,파주,2016-05,17.4,30.6,7,157.7,264.3
99,파주,2016-06,21.5,31,12.3,28.6,239.8
99,파주,2016-07,24.4,32.9,16.9,377.9,174.5
99,파주,2016-08,26,35,11.5,31.9,253.7
99,파주,2016-09,21.1,30.5,9.3,26.4,221
99,파주,2016-10,13.7,28.4,-3.7,249.9,192.8
99,파주,2016-11,4.7,20.2,-10.3,15.8,166.9
99,파주,2016-12,-.6,11.4,-13.4,62.1,168.8
99,파주,2017-01,-3.9,10.1,-17.9,12.8,217.1
99,파주,2017-02,-2.3,10.7,-14.9,16.5,212.2
99,파주,2017-03,3.8,18.8,-8.5,9,246.2
99,파주,2017-04,11.7,25.1,-2.1,65.7,256
99,파주,2017-05,16.8,29.1,5.2,44.1,299.6
99,파주,2017-06,20.9,33.1,9.2,42.7,290.2
99,파주,2017-07,25.3,33.5,19.9,364.3,135.5
99,파주,2017-08,23.7,34.9,11.8,318.1,174.6
99,파주,2017-09,19.1,29.5,4.2,23.1,239.4
99,파주,2017-10,13,26.8,-3.6,9.8,158.4
99,파주,2017-11,2.8,19.9,-11.1,16.8,168.8
99,파주,2017-12,-4.6,8,-18.8,24.9,170.4
99,파주,2018-01,-6.8,8,-23.5,6.1,200.4
99,파주,2018-02,-4.2,9.6,-20.6,28.6,216.3
99,파주,2018-03,5.8,21.1,-9.7,36.3,207.8
99,파주,2018-04,10.6,25.3,-3.8,122.4,220.8
99,파주,2018-05,16,29.9,4.5,208.2,236
99,파주,2018-06,20.8,31,11.8,137,230.2
99,파주,2018-07,25.5,36.7,14.8,127.4,245.2
99,파주,2018-08,26.5,37.6,16.6,129.5,230.2
99,파주,2018-09,19.2,30.1,6.9,50.3,220.6
99,파주,2018-10,10.3,25.5,-3.1,102,220.4
99,파주,2018-11,5,19.4,-8.3,50.5,165.2
99,파주,2018-12,-3.2,11.4,-17.7,11.2,199.7
99,파주,2019-01,-4,8,-16.1,.2,219.8
99,파주,2019-02,-1.2,13.2,-14.4,23.3,195.2
99,파주,2019-03,4.7,16.8,-7.5,25.5,207.9
99,파주,2019-04,10.1,26.6,-5,38.6,221.6
99,파주,2019-05,17.3,31.3,1.8,37.1,314.4
99,파주,2019-06,20.6,31.6,10.3,62.2,222.8
99,파주,2019-07,24.3,34.7,16.3,259.6,158.8
99,파주,2019-08,25.1,34.7,15.5,161.9,250.1
99,파주,2019-09,20.3,30,8.3,283.2,164
99,파주,2019-10,13.9,28,-.3,30.4,228.3
99,파주,2019-11,4.8,20.5,-8.2,72.2,192.3
99,파주,2019-12,-.8,10.9,-14.9,28.2,157.5
99,파주,2020-01,-.6,10.9,-11.4,82.3,193.5
