,city,kind,market,corp,wide,year,month,area,ratio,amount,inn,out,AT_1,AT_7,AT_10,AT_12,HT_7,HT_10,LT_2,RAIN_3,RAIN_6,RAIN_7,RAIN_8,RAIN_10,SUN_1,SUN_2,SUN_4,SUN_5,SUN_7,SUN_10,SUN_11
78,9,4,5,23,2,21,11,29.150835026950602,60.55312954876274,42.421177389362796,8.799043710838209,7.436067635217069,-0.6,23.6,14.2,1.0,27.9,19.6,-4.2,33.5,116.5,185.4,218.1,179.4,215.1,207.7,214.7,312.1,185.7,221.0,121.7
79,9,4,5,23,2,21,10,29.150835026950602,60.55312954876274,42.421177389362796,3.0610384970842595,28.523537890297362,-0.6,23.6,14.2,1.0,27.9,19.6,-4.2,33.5,116.5,185.4,218.1,179.4,215.1,207.7,214.7,312.1,185.7,221.0,121.7
80,9,4,5,23,2,22,8,20.809401784925335,73.59118319817009,32.83603142411373,11.137266869526398,2.89642915854646,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
81,9,4,5,23,2,22,7,20.809401784925335,73.59118319817009,32.83603142411373,4.866818398030924,16.662644352240946,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
82,9,4,5,23,2,22,6,20.809401784925335,73.59118319817009,32.83603142411373,3.5838054418148455,6.793541092237841,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
83,9,4,5,23,2,22,5,20.809401784925335,73.59118319817009,32.83603142411373,3.2813712501211545,0.2622459903666843,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
84,9,4,5,23,2,22,4,20.809401784925335,73.59118319817009,32.83603142411373,12.241217616568814,0.022864184453156487,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
85,9,4,5,23,2,22,3,20.809401784925335,73.59118319817009,32.83603142411373,13.105559620628842,0.007398640063129969,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
86,9,4,5,23,2,22,2,20.809401784925335,73.59118319817009,32.83603142411373,4.845444999679543,0.0953708570718302,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
87,9,4,5,23,2,22,1,20.809401784925335,73.59118319817009,32.83603142411373,7.028363132868284,0.01694527240265251,1.4,21.4,12.4,-0.8,24.9,18.6,-2.8,21.0,182.8,499.3,333.5,5.0,122.0,178.2,264.3,218.0,73.5,224.0,168.1
88,10,0,2,6,6,21,12,74.72828488115225,48.1181118735704,100.00000000000001,2.0312392041448333,0.0069213084461538414,1.8,25.3,17.1,4.8,29.4,22.2,-0.7,33.9,158.0,242.2,64.8,149.9,212.7,165.6,174.0,289.3,140.5,205.7,187.5
89,10,0,2,6,6,21,11,74.72828488115225,48.1181118735704,100.00000000000001,8.799043710838209,7.436067635217069,1.8,25.3,17.1,4.8,29.4,22.2,-0.7,33.9,158.0,242.2,64.8,149.9,212.7,165.6,174.0,289.3,140.5,205.7,187.5
90,10,0,2,6,6,21,10,74.72828488115225,48.1181118735704,100.00000000000001,3.0610384970842595,28.523537890297362,1.8,25.3,17.1,4.8,29.4,22.2,-0.7,33.9,158.0,242.2,64.8,149.9,212.7,165.6,174.0,289.3,140.5,205.7,187.5
91,10,0,2,6,6,22,8,50.658301670053895,69.12039925140363,77.77175717354994,11.137266869526398,2.89642915854646,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
92,10,0,2,6,6,22,7,50.658301670053895,69.12039925140363,77.77175717354994,4.866818398030924,16.662644352240946,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
93,10,0,2,6,6,22,6,50.658301670053895,69.12039925140363,77.77175717354994,3.5838054418148455,6.793541092237841,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
94,10,0,2,6,6,22,5,50.658301670053895,69.12039925140363,77.77175717354994,3.2813712501211545,0.2622459903666843,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
95,10,0,2,6,6,22,4,50.658301670053895,69.12039925140363,77.77175717354994,12.241217616568814,0.022864184453156487,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
96,10,0,2,6,6,22,3,50.658301670053895,69.12039925140363,77.77175717354994,13.105559620628842,0.007398640063129969,4.6,23.4,15.7,2.7,26.8,21.2,0.8,43.5,199.9,533.3,738.1,12.1,136.5,177.0,278.1,211.3,69.5,227.6,176.7
