,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
207,4,24,62,1,35,285.28,19,1,4330,8170,353752,15,5570.91,821.0
208,4,6,26,9,11,765.44,20,2,693,6620,45885,13,2144.8110000000006,20.19
209,4,24,61,6,22,654.19,21,4,6775,8547,579042,20,3842.014,41.540000000000006
210,4,30,72,4,13,517.5,21,3,332,7968,26487,7,15459.506000000001,2.06
211,0,27,66,2,7,455.0,19,6,3309,7471,247231,5,1395.514,10152.36
212,0,28,70,1,37,1508.02,21,1,4023,8423,338877,30,7944.320000000002,14.0
213,0,2,31,6,24,762.09,19,4,8467,6873,581958,0,5370.9090000000015,10.409999999999998
214,4,30,72,8,32,1424.31,21,3,906,8265,74856,28,15459.506000000001,2.06
215,7,10,30,6,14,554.71,19,3,8467,6873,581958,8,4655.0239999999985,4.72
216,4,7,14,6,14,697.73,19,4,8467,6873,581958,8,5370.9090000000015,10.409999999999998
217,6,10,75,6,36,369.98,19,3,8467,6873,581958,21,4655.0239999999985,4.72
218,6,20,24,1,37,600.0,20,8,2825,8783,248082,30,3704.711000000001,607.006
219,0,5,21,4,12,455.86,20,6,356,8950,31861,7,1832.019,1423.4429999999998
220,8,16,46,1,33,526.13,21,5,4023,8423,338877,10,1517.1129999999994,4.9
221,4,5,23,2,21,933.77,20,10,2365,8098,191509,19,5213.902,7.88
222,1,4,8,2,7,500.0,20,2,2365,8098,191509,5,2144.8110000000006,20.19
223,4,10,30,6,10,517.77,19,6,8467,6873,581958,4,1395.514,10152.36
224,4,9,34,1,37,386.59,19,2,4330,8170,353752,30,3132.005,165.31
225,0,19,51,7,27,583.33,19,7,2373,7957,188857,27,2498.442,20950.006
226,2,8,33,2,7,475.17,18,12,3369,6296,212066,5,2857.805000000001,232.2
227,4,6,26,7,30,301.36,19,6,2373,7957,188857,6,1395.514,10152.36
228,0,10,60,7,27,707.65,16,8,912,6508,59351,27,1936.7,415.33
229,4,13,40,6,22,267.54,19,7,8467,6873,581958,20,2498.442,20950.006
230,0,6,25,1,37,975.2,20,2,2825,8783,248082,30,2144.8110000000006,20.19
231,4,5,22,7,27,451.36,19,5,2373,7957,188857,27,2304.702,912.246
232,8,13,41,8,32,866.58,19,4,1130,7875,89017,28,5370.9090000000015,10.409999999999998
233,4,9,34,2,29,376.31,19,8,3309,7471,247231,25,1317.91,6311.0
234,0,13,41,1,33,512.44,21,6,4023,8423,338877,10,1815.108,3198.0
235,0,11,36,1,37,920.33,16,11,4749,7434,353063,30,2110.05,10.3
236,7,1,4,1,35,900.0,20,12,2825,8783,248082,15,6157.801,1.79
237,0,3,13,2,15,733.33,20,6,2365,8098,191509,9,1832.019,1423.4429999999998
238,1,10,60,6,14,889.46,19,5,8467,6873,581958,8,2304.702,912.246
239,2,8,33,1,28,249.56,19,7,4330,8170,353752,24,2498.442,20950.006
240,1,10,75,6,24,1276.63,20,2,5743,7883,452737,0,2144.8110000000006,20.19
241,4,20,52,1,37,275.0,18,10,5471,6601,361120,30,3537.007,4.4
242,4,21,3,6,36,469.23,18,12,11327,4932,558659,21,2857.805000000001,232.2
243,10,12,39,1,28,727.44,18,6,5471,6601,361120,24,4233.002,155.28600000000003
244,8,9,34,6,38,240.0,18,6,11327,4932,558659,31,4233.002,155.28600000000003
245,0,13,41,1,33,768.2,21,8,4023,8423,338877,10,2027.112,271.105
246,4,10,30,6,14,687.25,20,5,5743,7883,452737,8,1757.0379999999998,55.15000000000001
247,7,10,75,7,27,653.59,18,9,2646,6171,163291,27,3214.3150000000005,122.1
248,0,9,16,1,37,409.12,19,10,4330,8170,353752,30,1702.412,5975.833000000001
249,4,5,22,2,29,370.11,19,10,3309,7471,247231,25,1702.412,5975.833000000001
250,4,20,52,1,33,592.31,21,5,4023,8423,338877,10,1517.1129999999994,4.9
251,4,21,54,9,11,340.51,19,6,944,5500,51922,13,1395.514,10152.36
252,4,20,53,1,37,749.44,20,7,2825,8783,248082,30,2150.1100000000006,3491.0
253,8,16,45,6,36,852.63,21,4,6775,8547,579042,21,3842.014,41.540000000000006
254,2,10,75,6,38,580.33,16,8,9521,5981,569472,31,1936.7,415.33
255,0,3,13,2,15,1733.33,21,4,3159,9739,307653,9,3842.014,41.540000000000006
256,5,5,23,2,15,488.64,17,6,2087,5974,124702,9,4789.605000000001,104.17
257,4,9,34,2,15,911.11,20,2,2365,8098,191509,9,2144.8110000000006,20.19
258,7,10,75,7,27,1123.1,20,3,1142,7896,90175,27,4192.700000000002,1.76
259,6,12,39,9,19,474.89,19,10,944,5500,51922,17,1702.412,5975.833000000001
260,7,10,75,6,38,1293.49,16,1,9521,5981,569472,31,24407.001,1.0
261,4,9,34,1,28,1065.55,17,1,3938,6081,239459,24,7490.901999999999,3.0
262,4,20,53,2,9,511.59,21,6,3159,9739,307653,29,1815.108,3198.0
263,6,10,60,6,36,806.0,20,8,5743,7883,452737,21,3704.711000000001,607.006
264,7,10,30,7,17,1033.41,17,9,1632,6225,101600,12,19027.606,6.05
265,6,7,14,9,19,547.12,19,5,944,5500,51922,17,2304.702,912.246
266,0,2,12,6,14,800.0,21,2,6775,8547,579042,8,11292.08,0.14
267,4,6,26,4,13,821.75,20,9,356,8950,31861,7,3378.003,2.2
268,0,15,44,6,14,1155.42,17,11,9230,5578,514896,8,25736.005,403.0
269,8,16,45,8,18,1065.19,21,4,906,8265,74856,16,3842.014,41.540000000000006
270,0,6,25,6,14,924.29,21,8,6775,8547,579042,8,2027.112,271.105
271,0,25,63,1,33,459.01,21,5,4023,8423,338877,10,1517.1129999999994,4.9
272,1,10,75,6,24,1572.92,17,11,9230,5578,514896,0,25736.005,403.0
273,4,2,78,6,36,1195.65,21,3,6775,8547,579042,21,15459.506000000001,2.06
274,0,19,51,7,30,1431.61,20,12,1142,7896,90175,6,6157.801,1.79
275,4,21,54,4,13,659.03,19,3,311,8426,26244,7,4655.0239999999985,4.72
276,0,31,20,1,34,615.09,20,5,2825,8783,248082,14,1757.0379999999998,55.15000000000001
277,2,3,55,2,21,730.0,20,1,2365,8098,191509,19,2686.0110000000004,3.76
278,6,6,26,7,30,814.74,21,8,1687,8314,140261,6,2027.112,271.105
279,7,10,30,6,36,1081.31,20,3,5743,7883,452737,21,4192.700000000002,1.76
280,4,15,44,9,19,1500.0,18,3,1233,5570,68687,17,10063.706,29.2
281,10,1,4,7,3,574.18,21,6,1687,8314,140261,2,1815.108,3198.0
282,4,7,27,6,20,710.62,21,4,6775,8547,579042,8,3842.014,41.540000000000006
283,0,3,55,6,14,638.52,20,8,5743,7883,452737,8,3704.711000000001,607.006
284,2,9,77,1,28,1037.07,20,11,2825,8783,248082,24,4786.045000000001,2.016
